id,Name,Experience,Height,Weight,Abilitie 1,Abilitie 2,Abilitie 3,Move 1,Move 2,Move 3,Move 3,Move 5,Move 6,Move 7
461,weavile,179,11,340,pickpocket,pressure,,ice-punch,scratch,swords-dance,cut,headbutt,leer,surf
462,magnezone,241,12,1800,analytic,sturdy,magnet-pull,tackle,supersonic,sonic-boom,hyper-beam,thunder-shock,thunderbolt,thunder-wave
463,lickilicky,180,17,1400,cloud-nine,oblivious,own-tempo,fire-punch,ice-punch,thunder-punch,swords-dance,cut,bind,slam
464,rhyperior,241,24,2828,reckless,solid-rock,lightning-rod,fire-punch,ice-punch,thunder-punch,swords-dance,cut,stomp,headbutt
465,tangrowth,187,20,1286,regenerator,leaf-guard,chlorophyll,swords-dance,cut,bind,slam,vine-whip,headbutt,hyper-beam
466,electivire,243,18,1386,vital-spirit,motor-drive,,fire-punch,ice-punch,thunder-punch,headbutt,leer,flamethrower,hyper-beam
467,magmortar,243,16,680,vital-spirit,flame-body,,fire-punch,thunder-punch,headbutt,leer,ember,flamethrower,hyper-beam
468,togekiss,245,15,380,super-luck,serene-grace,hustle,fly,headbutt,flamethrower,hyper-beam,solar-beam,thunder-wave,toxic
469,yanmega,180,19,515,frisk,tinted-lens,speed-boost,headbutt,tackle,supersonic,sonic-boom,hyper-beam,solar-beam,string-shot
470,leafeon,184,10,255,chlorophyll,leaf-guard,,swords-dance,sand-attack,headbutt,tackle,tail-whip,roar,hyper-beam
471,glaceon,184,8,259,ice-body,snow-cloak,,sand-attack,headbutt,tackle,tail-whip,bite,roar,ice-beam
472,gliscor,179,20,425,poison-heal,sand-veil,hyper-cutter,guillotine,swords-dance,cut,sand-attack,headbutt,hyper-beam,strength
473,mamoswine,239,25,2910,thick-fat,snow-cloak,oblivious,headbutt,fury-attack,take-down,thrash,roar,mist,ice-beam
474,porygon-z,241,9,340,analytic,download,adaptability,tackle,ice-beam,blizzard,psybeam,hyper-beam,solar-beam,thunderbolt
475,gallade,233,16,520,justified,steadfast,,fire-punch,ice-punch,thunder-punch,swords-dance,cut,headbutt,leer
476,probopass,184,14,3400,sand-force,magnet-pull,sturdy,fire-punch,ice-punch,thunder-punch,headbutt,tackle,hyper-beam,strength
477,dusknoir,236,22,1066,frisk,pressure,,fire-punch,ice-punch,thunder-punch,bind,headbutt,leer,disable
478,froslass,168,13,266,cursed-body,snow-cloak,,ice-punch,headbutt,leer,ice-beam,blizzard,hyper-beam,thunderbolt
479,rotom,154,3,3,levitate,,,thunder-shock,thunderbolt,thunder-wave,thunder,toxic,double-team,confuse-ray
480,uxie,261,3,3,levitate,,,fire-punch,ice-punch,thunder-punch,headbutt,hyper-beam,solar-beam,thunderbolt
481,mesprit,261,3,3,levitate,,,fire-punch,ice-punch,thunder-punch,headbutt,ice-beam,blizzard,hyper-beam
482,azelf,261,3,3,levitate,,,fire-punch,ice-punch,thunder-punch,headbutt,flamethrower,hyper-beam,thunderbolt
483,dialga,306,54,6830,telepathy,pressure,,cut,headbutt,roar,flamethrower,ice-beam,blizzard,hyper-beam
484,palkia,306,42,3360,telepathy,pressure,,cut,headbutt,roar,flamethrower,hydro-pump,surf,ice-beam
485,heatran,270,17,4300,flame-body,flash-fire,,headbutt,leer,roar,flamethrower,hyper-beam,strength,solar-beam
486,regigigas,302,37,4200,slow-start,,,mega-punch,fire-punch,ice-punch,thunder-punch,stomp,headbutt,hyper-beam
487,giratina-altered,306,45,7500,telepathy,pressure,,cut,fly,headbutt,roar,hyper-beam,strength,thunderbolt
488,cresselia,270,15,856,levitate,,,mist,ice-beam,aurora-beam,hyper-beam,solar-beam,thunder-wave,toxic
489,phione,216,4,31,hydration,,,supersonic,surf,ice-beam,blizzard,bubble-beam,toxic,double-team
490,manaphy,270,3,14,hydration,,,supersonic,surf,ice-beam,blizzard,bubble-beam,hyper-beam,toxic
491,darkrai,270,15,505,bad-dreams,,,swords-dance,cut,headbutt,disable,ice-beam,blizzard,hyper-beam
492,shaymin-land,270,2,21,natural-cure,,,swords-dance,headbutt,hyper-beam,leech-seed,growth,solar-beam,toxic
493,arceus,324,32,3200,multitype,,,swords-dance,cut,fly,headbutt,roar,flamethrower,surf
494,victini,270,4,40,victory-star,,,fire-punch,thunder-punch,headbutt,double-edge,flamethrower,hyper-beam,solar-beam
495,snivy,62,6,81,contrary,overgrow,,swords-dance,cut,bind,slam,vine-whip,tackle,wrap
496,servine,145,8,160,contrary,overgrow,,swords-dance,cut,bind,slam,vine-whip,tackle,wrap
497,serperior,238,33,630,contrary,overgrow,,swords-dance,cut,bind,slam,vine-whip,tackle,wrap
498,tepig,62,5,99,thick-fat,blaze,,tackle,body-slam,take-down,thrash,tail-whip,roar,ember
499,pignite,146,10,555,thick-fat,blaze,,fire-punch,thunder-punch,tackle,take-down,tail-whip,roar,ember
500,emboar,238,16,1500,reckless,blaze,,fire-punch,thunder-punch,tackle,take-down,tail-whip,roar,ember
501,oshawott,62,5,59,shell-armor,torrent,,swords-dance,cut,tackle,tail-whip,water-gun,hydro-pump,surf
502,dewott,145,8,245,shell-armor,torrent,,swords-dance,cut,tackle,tail-whip,water-gun,hydro-pump,surf
503,samurott,238,15,946,shell-armor,torrent,,swords-dance,cut,tackle,tail-whip,water-gun,hydro-pump,surf
504,patrat,51,5,116,analytic,keen-eye,run-away,swords-dance,cut,slam,sand-attack,tackle,leer,bite
505,watchog,147,11,270,analytic,keen-eye,illuminate,fire-punch,ice-punch,thunder-punch,swords-dance,cut,slam,sand-attack
506,lillipup,55,4,41,run-away,pickup,vital-spirit,sand-attack,tackle,take-down,leer,bite,roar,thunderbolt
507,herdier,130,9,147,scrappy,sand-rush,intimidate,tackle,take-down,leer,bite,roar,surf,strength
508,stoutland,225,12,610,scrappy,sand-rush,intimidate,tackle,take-down,leer,bite,roar,surf,hyper-beam
509,purrloin,56,4,101,prankster,unburden,limber,pay-day,scratch,cut,sand-attack,growl,thunder-wave,toxic
510,liepard,156,11,375,prankster,unburden,limber,scratch,cut,sand-attack,growl,hyper-beam,thunder-wave,toxic
511,pansage,63,6,105,overgrow,gluttony,,scratch,cut,vine-whip,leer,bite,low-kick,leech-seed
512,simisage,174,11,305,overgrow,gluttony,,cut,leer,hyper-beam,low-kick,solar-beam,dig,toxic
513,pansear,63,6,110,blaze,gluttony,,fire-punch,scratch,cut,leer,bite,flamethrower,low-kick
514,simisear,174,10,280,blaze,gluttony,,fire-punch,cut,leer,flamethrower,hyper-beam,low-kick,solar-beam
515,panpour,63,6,135,torrent,gluttony,,ice-punch,scratch,cut,leer,bite,water-gun,hydro-pump
516,simipour,174,10,290,torrent,gluttony,,ice-punch,cut,leer,surf,ice-beam,blizzard,hyper-beam
517,munna,58,6,233,telepathy,synchronize,forewarn,sonic-boom,psybeam,thunder-wave,toxic,psychic,hypnosis,double-team
518,musharna,170,11,605,telepathy,synchronize,forewarn,psybeam,hyper-beam,thunder-wave,toxic,psychic,hypnosis,double-team
519,pidove,53,3,21,rivalry,super-luck,big-pecks,razor-wind,gust,fly,leer,growl,toxic,hypnosis
520,tranquill,125,6,150,rivalry,super-luck,big-pecks,razor-wind,gust,fly,leer,growl,toxic,quick-attack
521,unfezant,220,12,290,rivalry,super-luck,big-pecks,razor-wind,gust,fly,leer,growl,hyper-beam,toxic
522,blitzle,59,8,298,sap-sipper,motor-drive,lightning-rod,stomp,double-kick,sand-attack,take-down,thrash,double-edge,tail-whip
523,zebstrika,174,16,795,sap-sipper,motor-drive,lightning-rod,stomp,thrash,tail-whip,hyper-beam,thunderbolt,thunder-wave,thunder
524,roggenrola,56,4,180,sand-force,weak-armor,sturdy,sand-attack,headbutt,tackle,take-down,strength,earthquake,toxic
525,boldore,137,9,1020,sand-force,weak-armor,sturdy,sand-attack,headbutt,tackle,strength,earthquake,toxic,double-team
526,gigalith,232,17,2600,sand-force,sand-stream,sturdy,sand-attack,headbutt,tackle,hyper-beam,strength,solar-beam,earthquake
527,woobat,65,4,21,simple,klutz,unaware,gust,fly,supersonic,thunder-wave,toxic,confusion,psychic
528,swoobat,149,9,105,simple,klutz,unaware,gust,fly,hyper-beam,thunder-wave,toxic,confusion,psychic
529,drilbur,66,3,85,mold-breaker,sand-force,sand-rush,scratch,swords-dance,cut,submission,strength,earthquake,fissure
530,excadrill,178,7,404,mold-breaker,sand-force,sand-rush,scratch,swords-dance,cut,horn-drill,hyper-beam,strength,earthquake
531,audino,390,11,310,klutz,regenerator,healer,pound,double-slap,fire-punch,ice-punch,thunder-punch,take-down,double-edge
532,timburr,61,6,125,iron-fist,sheer-force,guts,pound,comet-punch,fire-punch,ice-punch,thunder-punch,leer,low-kick
533,gurdurr,142,12,400,iron-fist,sheer-force,guts,pound,fire-punch,ice-punch,thunder-punch,leer,low-kick,strength
534,conkeldurr,227,14,870,iron-fist,sheer-force,guts,pound,fire-punch,ice-punch,thunder-punch,leer,hyper-beam,low-kick
535,tympole,59,5,45,water-absorb,hydration,swift-swim,growl,supersonic,mist,hydro-pump,surf,bubble-beam,toxic
536,palpitoad,134,8,170,water-absorb,hydration,swift-swim,growl,supersonic,hydro-pump,surf,bubble-beam,toxic,double-team
537,seismitoad,229,15,620,water-absorb,poison-touch,swift-swim,ice-punch,growl,supersonic,acid,hydro-pump,surf,bubble-beam
538,throh,163,13,555,mold-breaker,inner-focus,guts,fire-punch,ice-punch,thunder-punch,bind,body-slam,leer,low-kick
539,sawk,163,14,510,mold-breaker,inner-focus,sturdy,karate-chop,fire-punch,ice-punch,thunder-punch,double-kick,leer,low-kick
540,sewaddle,62,3,25,overcoat,chlorophyll,swarm,razor-wind,cut,tackle,razor-leaf,solar-beam,string-shot,toxic
541,swadloon,133,5,73,overcoat,chlorophyll,leaf-guard,cut,tackle,razor-leaf,solar-beam,string-shot,toxic,double-team
542,leavanny,225,12,205,overcoat,chlorophyll,swarm,swords-dance,cut,tackle,hyper-beam,razor-leaf,solar-beam,string-shot
543,venipede,52,4,53,speed-boost,swarm,poison-point,take-down,double-edge,poison-sting,twineedle,pin-missile,solar-beam,toxic
544,whirlipede,126,12,585,speed-boost,swarm,poison-point,double-edge,poison-sting,solar-beam,toxic,agility,screech,double-team
545,scolipede,218,25,2005,speed-boost,swarm,poison-point,swords-dance,cut,double-edge,poison-sting,hyper-beam,strength,solar-beam
546,cottonee,56,3,6,chlorophyll,infiltrator,prankster,absorb,mega-drain,leech-seed,growth,razor-leaf,solar-beam,poison-powder
547,whimsicott,168,7,66,chlorophyll,infiltrator,prankster,gust,hyper-beam,mega-drain,leech-seed,growth,solar-beam,toxic
548,petilil,56,5,66,leaf-guard,own-tempo,chlorophyll,cut,absorb,mega-drain,leech-seed,growth,solar-beam,stun-spore
549,lilligant,168,11,163,leaf-guard,own-tempo,chlorophyll,swords-dance,cut,hyper-beam,mega-drain,leech-seed,growth,solar-beam
550,basculin-red-striped,161,10,180,mold-breaker,adaptability,reckless,cut,headbutt,tackle,take-down,thrash,double-edge,tail-whip
551,sandile,58,7,152,anger-point,moxie,intimidate,cut,sand-attack,thrash,double-edge,leer,bite,roar
552,krokorok,123,10,334,anger-point,moxie,intimidate,cut,sand-attack,thrash,leer,bite,roar,low-kick
553,krookodile,234,15,963,anger-point,moxie,intimidate,cut,sand-attack,leer,bite,roar,hyper-beam,low-kick
554,darumaka,63,6,375,inner-focus,hustle,,fire-punch,headbutt,tackle,take-down,thrash,roar,flamethrower
555,darmanitan-standard,168,13,929,zen-mode,sheer-force,,fire-punch,headbutt,tackle,thrash,roar,flamethrower,hyper-beam
556,maractus,161,10,280,storm-drain,chlorophyll,water-absorb,pin-missile,peck,absorb,mega-drain,leech-seed,growth,solar-beam
557,dwebble,65,3,145,weak-armor,shell-armor,sturdy,swords-dance,cut,sand-attack,counter,strength,solar-beam,earthquake
558,crustle,170,14,2000,weak-armor,shell-armor,sturdy,swords-dance,cut,sand-attack,hyper-beam,strength,solar-beam,earthquake
559,scraggy,70,6,118,intimidate,moxie,shed-skin,fire-punch,ice-punch,thunder-punch,sand-attack,headbutt,leer,roar
560,scrafty,171,11,300,intimidate,moxie,shed-skin,fire-punch,ice-punch,thunder-punch,sand-attack,headbutt,leer,roar
561,sigilyph,172,14,140,tinted-lens,magic-guard,wonder-skin,gust,whirlwind,fly,ice-beam,psybeam,hyper-beam,solar-beam
562,yamask,61,5,15,mummy,,,disable,toxic,psychic,night-shade,double-team,haze,dream-eater
563,cofagrigus,169,17,765,mummy,,,disable,hyper-beam,toxic,psychic,night-shade,double-team,haze
564,tirtouga,71,7,165,swift-swim,sturdy,solid-rock,slam,body-slam,bite,water-gun,hydro-pump,surf,ice-beam
565,carracosta,173,12,810,swift-swim,sturdy,solid-rock,bite,water-gun,hydro-pump,surf,ice-beam,blizzard,hyper-beam
566,archen,71,5,95,defeatist,,,cut,wing-attack,thrash,leer,bite,roar,rock-throw
567,archeops,177,14,320,defeatist,,,cut,wing-attack,fly,thrash,leer,roar,hyper-beam
568,trubbish,66,6,310,aftermath,sticky-hold,stench,pound,double-slap,sand-attack,take-down,toxic,double-team,haze
569,garbodor,166,19,1073,aftermath,weak-armor,stench,pound,double-slap,body-slam,hyper-beam,solar-beam,thunderbolt,toxic
570,zorua,66,7,125,illusion,,,scratch,swords-dance,cut,leer,roar,counter,dig
571,zoroark,179,16,811,illusion,,,scratch,swords-dance,cut,leer,roar,flamethrower,hyper-beam
572,minccino,60,4,58,skill-link,technician,cute-charm,pound,double-slap,slam,tail-whip,growl,sing,thunderbolt
573,cinccino,165,5,75,skill-link,technician,cute-charm,sing,hyper-beam,thunderbolt,thunder-wave,thunder,dig,toxic
574,gothita,58,4,58,shadow-tag,competitive,frisk,pound,double-slap,psybeam,thunderbolt,thunder-wave,toxic,confusion
575,gothorita,137,7,180,shadow-tag,competitive,frisk,pound,double-slap,psybeam,thunderbolt,thunder-wave,toxic,confusion
576,gothitelle,221,15,440,shadow-tag,competitive,frisk,pound,double-slap,psybeam,hyper-beam,thunderbolt,thunder-wave,toxic
577,solosis,58,3,10,regenerator,magic-guard,overcoat,thunder-wave,thunder,toxic,psychic,night-shade,double-team,recover
578,duosion,130,6,80,regenerator,magic-guard,overcoat,thunder-wave,thunder,toxic,psychic,double-team,recover,light-screen
579,reuniclus,221,10,201,regenerator,magic-guard,overcoat,fire-punch,ice-punch,thunder-punch,hyper-beam,strength,thunder-wave,thunder
580,ducklett,61,5,55,hydration,big-pecks,keen-eye,gust,wing-attack,fly,water-gun,surf,ice-beam,bubble-beam
581,swanna,166,13,242,hydration,big-pecks,keen-eye,wing-attack,fly,water-gun,surf,ice-beam,bubble-beam,hyper-beam
582,vanillite,61,4,57,weak-armor,snow-cloak,ice-body,mist,ice-beam,blizzard,toxic,double-team,harden,light-screen
583,vanillish,138,11,410,weak-armor,snow-cloak,ice-body,mist,ice-beam,blizzard,toxic,double-team,harden,light-screen
584,vanilluxe,241,13,575,weak-armor,snow-warning,ice-body,mist,ice-beam,blizzard,hyper-beam,toxic,double-team,harden
585,deerling,67,6,195,serene-grace,sap-sipper,chlorophyll,double-kick,jump-kick,sand-attack,tackle,take-down,double-edge,growl
586,sawsbuck,166,19,925,serene-grace,sap-sipper,chlorophyll,swords-dance,cut,double-kick,jump-kick,sand-attack,tackle,take-down
587,emolga,150,4,50,motor-drive,static,,cut,tail-whip,thunder-shock,thunderbolt,thunder-wave,thunder,toxic
588,karrablast,63,5,59,no-guard,shed-skin,swarm,swords-dance,cut,headbutt,horn-attack,fury-attack,take-down,double-edge
589,escavalier,173,10,330,overcoat,shell-armor,swarm,swords-dance,cut,headbutt,fury-attack,double-edge,twineedle,leer
590,foongus,59,2,10,regenerator,effect-spore,,body-slam,absorb,mega-drain,growth,solar-beam,poison-powder,stun-spore
591,amoonguss,162,6,105,regenerator,effect-spore,,hyper-beam,absorb,mega-drain,growth,solar-beam,toxic,double-team
592,frillish,67,12,330,damp,cursed-body,water-absorb,bind,mist,hydro-pump,surf,ice-beam,blizzard,bubble-beam
593,jellicent,168,22,1350,damp,cursed-body,water-absorb,bind,hydro-pump,surf,ice-beam,blizzard,bubble-beam,hyper-beam
594,alomomola,165,12,316,regenerator,hydration,healer,pound,double-slap,mist,hydro-pump,surf,ice-beam,blizzard
595,joltik,64,1,6,swarm,unnerve,compound-eyes,cut,poison-sting,pin-missile,disable,absorb,string-shot,thunderbolt
596,galvantula,165,8,143,swarm,unnerve,compound-eyes,cut,hyper-beam,absorb,string-shot,thunderbolt,thunder-wave,thunder
597,ferroseed,61,6,188,iron-barbs,,,tackle,pin-missile,leech-seed,solar-beam,thunderbolt,thunder-wave,toxic
598,ferrothorn,171,10,1100,anticipation,iron-barbs,,swords-dance,cut,tackle,pin-missile,hyper-beam,strength,solar-beam
599,klink,60,3,210,clear-body,minus,plus,vice-grip,bind,hyper-beam,thunder-shock,thunderbolt,thunder-wave,toxic
600,klang,154,6,510,clear-body,minus,plus,vice-grip,bind,hyper-beam,thunder-shock,thunderbolt,thunder-wave,toxic
601,klinklang,234,6,810,clear-body,minus,plus,vice-grip,bind,hyper-beam,thunder-shock,thunderbolt,thunder-wave,thunder
602,tynamo,55,2,3,levitate,,,tackle,thunder-wave,spark,magnet-rise,charge-beam,,
603,eelektrik,142,12,220,levitate,,,bind,headbutt,thrash,acid,thunderbolt,thunder-wave,thunder
604,eelektross,232,21,805,levitate,,,fire-punch,thunder-punch,cut,bind,headbutt,thrash,roar
605,elgyem,67,5,90,analytic,synchronize,telepathy,headbutt,growl,disable,psybeam,thunderbolt,thunder-wave,toxic
606,beheeyem,170,10,345,analytic,synchronize,telepathy,headbutt,growl,psybeam,hyper-beam,thunderbolt,thunder-wave,toxic
607,litwick,55,3,31,infiltrator,flame-body,flash-fire,acid,ember,flamethrower,solar-beam,fire-spin,toxic,psychic
608,lampent,130,6,130,infiltrator,flame-body,flash-fire,ember,flamethrower,solar-beam,fire-spin,toxic,psychic,night-shade
609,chandelure,234,10,343,infiltrator,flame-body,flash-fire,flamethrower,hyper-beam,solar-beam,toxic,psychic,double-team,confuse-ray
610,axew,64,6,180,unnerve,mold-breaker,rivalry,scratch,guillotine,razor-wind,swords-dance,cut,leer,roar
611,fraxure,144,10,360,unnerve,mold-breaker,rivalry,scratch,guillotine,swords-dance,cut,leer,roar,low-kick
612,haxorus,243,18,1055,unnerve,mold-breaker,rivalry,scratch,guillotine,swords-dance,cut,leer,roar,surf
613,cubchoo,61,5,85,rattled,slush-rush,snow-cloak,ice-punch,cut,thrash,growl,surf,ice-beam,blizzard
614,beartic,177,26,2600,swift-swim,slush-rush,snow-cloak,ice-punch,swords-dance,cut,thrash,growl,roar,surf
615,cryogonal,180,11,1480,levitate,,,bind,mist,ice-beam,blizzard,aurora-beam,hyper-beam,solar-beam
616,shelmet,61,4,77,overcoat,shell-armor,hydration,body-slam,double-edge,acid,absorb,mega-drain,toxic,double-team
617,accelgor,173,8,253,unburden,sticky-hold,hydration,hyper-beam,absorb,mega-drain,toxic,agility,quick-attack,double-team
618,stunfisk,165,7,110,sand-veil,limber,static,tackle,water-gun,surf,thunder-shock,thunderbolt,thunder-wave,thunder
619,mienfoo,70,9,200,reckless,regenerator,inner-focus,pound,double-slap,swords-dance,jump-kick,low-kick,strength,dig
620,mienshao,179,14,355,reckless,regenerator,inner-focus,pound,double-slap,swords-dance,jump-kick,hyper-beam,low-kick,strength
621,druddigon,170,16,1390,mold-breaker,sheer-force,rough-skin,fire-punch,thunder-punch,scratch,cut,leer,bite,roar
622,golett,61,10,920,no-guard,klutz,iron-fist,pound,mega-punch,fire-punch,ice-punch,thunder-punch,ice-beam,low-kick
623,golurk,169,28,3300,no-guard,klutz,iron-fist,pound,mega-punch,fire-punch,ice-punch,thunder-punch,fly,ice-beam
624,pawniard,68,5,102,pressure,inner-focus,defiant,scratch,guillotine,swords-dance,cut,headbutt,leer,low-kick
625,bisharp,172,16,700,pressure,inner-focus,defiant,scratch,guillotine,swords-dance,cut,leer,hyper-beam,low-kick
626,bouffalant,172,16,946,soundproof,sap-sipper,reckless,swords-dance,cut,stomp,headbutt,horn-attack,fury-attack,thrash
627,rufflet,70,5,105,hustle,sheer-force,keen-eye,cut,wing-attack,whirlwind,fly,fury-attack,thrash,leer
628,braviary,179,15,410,defiant,sheer-force,keen-eye,cut,wing-attack,whirlwind,fly,fury-attack,thrash,leer
629,vullaby,74,5,90,weak-armor,overcoat,big-pecks,cut,gust,whirlwind,fly,fury-attack,leer,toxic
630,mandibuzz,179,12,395,weak-armor,overcoat,big-pecks,cut,gust,whirlwind,fly,fury-attack,leer,hyper-beam
631,heatmor,169,14,580,white-smoke,flash-fire,gluttony,fire-punch,thunder-punch,cut,bind,tackle,body-slam,wrap
632,durant,169,3,330,truant,hustle,swarm,vice-grip,guillotine,cut,sand-attack,bite,strength,thunder-wave
633,deino,60,8,173,hustle,,,slam,headbutt,tackle,body-slam,bite,roar,strength
634,zweilous,147,14,500,hustle,,,slam,headbutt,body-slam,bite,roar,strength,dragon-rage
635,hydreigon,270,18,1600,levitate,,,fly,slam,headbutt,body-slam,bite,roar,flamethrower
636,larvesta,72,11,288,swarm,flame-body,,take-down,thrash,double-edge,ember,flamethrower,absorb,solar-beam
637,volcarona,248,16,460,swarm,flame-body,,gust,whirlwind,fly,thrash,ember,flamethrower,hyper-beam
638,cobalion,261,21,2500,justified,,,swords-dance,cut,double-kick,take-down,leer,roar,hyper-beam
639,terrakion,261,19,2600,justified,,,swords-dance,cut,double-kick,take-down,leer,roar,hyper-beam
640,virizion,261,20,2000,justified,,,swords-dance,cut,double-kick,take-down,leer,roar,hyper-beam
641,tornadus-incarnate,261,15,630,defiant,prankster,,gust,fly,thrash,bite,hyper-beam,strength,toxic
642,thundurus-incarnate,261,15,610,defiant,prankster,,thunder-punch,fly,thrash,bite,hyper-beam,strength,thunder-shock
643,reshiram,306,32,3300,turboblaze,,,cut,fly,flamethrower,hyper-beam,strength,solar-beam,dragon-rage
644,zekrom,306,29,3450,teravolt,,,thunder-punch,cut,fly,hyper-beam,strength,dragon-rage,thunderbolt
645,landorus-incarnate,270,15,680,sheer-force,sand-force,,swords-dance,fly,hyper-beam,strength,rock-throw,earthquake,fissure
646,kyurem,297,30,3250,pressure,,,cut,fly,ice-beam,blizzard,hyper-beam,strength,dragon-rage
647,keldeo-ordinary,261,14,485,justified,,,swords-dance,cut,double-kick,take-down,leer,roar,hydro-pump
648,meloetta-aria,270,6,65,serene-grace,,,fire-punch,ice-punch,thunder-punch,sing,psybeam,hyper-beam,low-kick
649,genesect,270,15,825,download,,,fly,flamethrower,ice-beam,blizzard,hyper-beam,solar-beam,thunderbolt
650,chespin,63,4,90,bulletproof,overgrow,,thunder-punch,swords-dance,cut,vine-whip,tackle,body-slam,take-down
651,quilladin,142,7,290,bulletproof,overgrow,,thunder-punch,swords-dance,cut,vine-whip,tackle,body-slam,take-down
652,chesnaught,239,16,900,bulletproof,overgrow,,thunder-punch,swords-dance,cut,vine-whip,tackle,body-slam,take-down
653,fennekin,61,4,94,magician,blaze,,scratch,cut,tail-whip,ember,flamethrower,psybeam,solar-beam
654,braixen,143,10,145,magician,blaze,,fire-punch,thunder-punch,scratch,cut,tail-whip,ember,flamethrower
655,delphox,240,15,390,magician,blaze,,fire-punch,thunder-punch,scratch,cut,tail-whip,ember,flamethrower
656,froakie,63,3,70,protean,torrent,,pound,cut,growl,hydro-pump,surf,ice-beam,blizzard
657,frogadier,142,6,109,protean,torrent,,pound,ice-punch,cut,growl,hydro-pump,surf,ice-beam
658,greninja,239,15,400,protean,torrent,,pound,ice-punch,cut,growl,hydro-pump,surf,ice-beam
659,bunnelby,47,4,50,huge-power,cheek-pouch,pickup,double-slap,cut,double-kick,tackle,take-down,leer,surf
660,diggersby,148,10,424,huge-power,cheek-pouch,pickup,double-slap,fire-punch,ice-punch,thunder-punch,swords-dance,cut,double-kick
661,fletchling,56,3,17,gale-wings,big-pecks,,razor-wind,swords-dance,fly,tackle,growl,peck,toxic
662,fletchinder,134,7,160,gale-wings,flame-body,,razor-wind,swords-dance,fly,tackle,growl,ember,flamethrower
663,talonflame,175,12,245,gale-wings,flame-body,,razor-wind,swords-dance,fly,tackle,growl,ember,flamethrower
664,scatterbug,40,3,25,friend-guard,compound-eyes,shield-dust,tackle,poison-powder,stun-spore,string-shot,bug-bite,rage-powder,
665,spewpa,75,3,84,friend-guard,shed-skin,,harden,protect,iron-defense,bug-bite,electroweb,,
666,vivillon,185,12,170,friend-guard,compound-eyes,shield-dust,gust,supersonic,psybeam,hyper-beam,solar-beam,poison-powder,stun-spore
667,litleo,74,6,135,moxie,unnerve,rivalry,headbutt,tackle,take-down,leer,roar,ember,flamethrower
668,pyroar,177,15,815,moxie,unnerve,rivalry,headbutt,tackle,take-down,leer,roar,ember,flamethrower
669,flabebe,61,1,1,symbiosis,flower-veil,,vine-whip,tackle,razor-leaf,solar-beam,petal-dance,toxic,psychic
670,floette,130,2,9,symbiosis,flower-veil,,vine-whip,tackle,razor-leaf,solar-beam,petal-dance,toxic,psychic
671,florges,248,11,100,symbiosis,flower-veil,,hyper-beam,solar-beam,petal-dance,toxic,psychic,double-team,light-screen
672,skiddo,70,9,310,grass-pelt,sap-sipper,,vine-whip,tackle,take-down,double-edge,tail-whip,roar,surf
673,gogoat,186,17,910,grass-pelt,sap-sipper,,vine-whip,tackle,take-down,double-edge,tail-whip,roar,surf
674,pancham,70,6,80,scrappy,mold-breaker,iron-fist,karate-chop,comet-punch,fire-punch,ice-punch,thunder-punch,swords-dance,cut
675,pangoro,173,21,1360,scrappy,mold-breaker,iron-fist,karate-chop,comet-punch,fire-punch,ice-punch,thunder-punch,swords-dance,cut
676,furfrou,165,12,280,fur-coat,,,sand-attack,headbutt,tackle,take-down,tail-whip,bite,growl
677,espurr,71,3,35,own-tempo,infiltrator,keen-eye,scratch,cut,leer,psybeam,thunderbolt,thunder-wave,toxic
678,meowstic-male,163,6,85,prankster,infiltrator,keen-eye,scratch,cut,leer,psybeam,hyper-beam,thunderbolt,thunder-wave
679,honedge,65,8,20,no-guard,,,swords-dance,cut,tackle,toxic,double-team,reflect,rest
680,doublade,157,8,45,no-guard,,,swords-dance,cut,tackle,toxic,double-team,reflect,rest
681,aegislash-shield,234,17,530,stance-change,,,swords-dance,cut,hyper-beam,toxic,double-team,reflect,rest
682,spritzee,68,2,5,aroma-veil,healer,,disable,thunderbolt,toxic,psychic,double-team,light-screen,reflect
683,aromatisse,162,8,155,aroma-veil,healer,,hyper-beam,thunderbolt,thunder,toxic,psychic,double-team,light-screen
684,swirlix,68,4,35,unburden,sweet-veil,,tackle,flamethrower,surf,thunderbolt,toxic,psychic,double-team
685,slurpuff,168,8,50,unburden,sweet-veil,,tackle,flamethrower,surf,hyper-beam,thunderbolt,toxic,psychic
686,inkay,58,4,35,infiltrator,suction-cups,contrary,cut,bind,tackle,flamethrower,psybeam,peck,thunderbolt
687,malamar,169,15,470,infiltrator,suction-cups,contrary,cut,bind,tackle,flamethrower,psybeam,hyper-beam,peck
688,binacle,61,5,310,pickpocket,sniper,tough-claws,scratch,swords-dance,cut,sand-attack,water-gun,surf,ice-beam
689,barbaracle,175,13,960,pickpocket,sniper,tough-claws,scratch,swords-dance,cut,sand-attack,water-gun,surf,ice-beam
690,skrelp,64,5,73,adaptability,poison-touch,poison-point,tackle,tail-whip,acid,water-gun,hydro-pump,surf,thunderbolt
691,dragalge,173,18,815,adaptability,poison-touch,poison-point,tackle,tail-whip,acid,water-gun,hydro-pump,surf,hyper-beam
692,clauncher,66,5,83,mega-launcher,,,vice-grip,swords-dance,cut,water-gun,surf,ice-beam,bubble-beam
693,clawitzer,100,13,353,mega-launcher,,,vice-grip,swords-dance,cut,water-gun,surf,ice-beam,bubble-beam
